Date,Open,High,Low,Close,Adj Close,Volume
27/12/2022,109.269997,110.470001,108.830002,110.190002,106.552086,11962100
28/12/2022,109.910004,110,107.900002,108.379997,104.801842,10702100
29/12/2022,107.989998,109.720001,107.989998,109.199997,105.59478,10534000
30/12/2022,108.610001,110.5,108.610001,110.300003,106.658455,11799600
03/01/2023,109.779999,110.019997,105.489998,106.510002,102.993584,15146200
04/01/2023,104.800003,107.160004,104.760002,106.82,103.29335,18058400
05/01/2023,106.339996,109.949997,106.309998,109.209999,105.604439,15946600
06/01/2023,110.080002,111.989998,109.669998,110.529999,106.880867,16348100
09/01/2023,111.639999,111.639999,107.809998,108.470001,104.888878,17964600
10/01/2023,109.790001,110.330002,108.010002,110.089996,106.455391,15104600
11/01/2023,110.989998,111.449997,109.089996,111.370003,107.693138,16710400
12/01/2023,111.82,113.739998,111.739998,113.220001,109.482056,15357300
13/01/2023,113.110001,113.489998,112.160004,113.150002,109.414368,12011400
17/01/2023,113.410004,114.080002,112.669998,112.93,109.20163,16542200
18/01/2023,113.260002,114.120003,110.400002,110.610001,106.958229,16399700
19/01/2023,110.07,112.129997,109.580002,111.32,107.644783,12928000
20/01/2023,111.360001,113.440002,110.610001,113.349998,109.607758,16515600
23/01/2023,113.639999,114.589996,112.639999,112.760002,109.037247,16584400
24/01/2023,109.160004,114.019997,104.870003,113.809998,110.052582,13583000
25/01/2023,113.230003,113.650002,111.389999,113.209999,109.472389,11914700
26/01/2023,114.720001,117.779999,114.339996,117.760002,113.872169,21019700
27/01/2023,116.949997,117.669998,115.389999,115.610001,111.793152,15179200
30/01/2023,115.089996,115.489998,113.150002,113.559998,109.810829,18672100
31/01/2023,112.099998,116.400002,110.43,116.010002,112.179947,27861800
01/02/2023,115.830002,117.379997,113.339996,114.739998,110.951874,19464900
02/02/2023,114.849998,115.07,109.830002,111.150002,107.4804,24562100
03/02/2023,111.900002,114.110001,111.559998,111.919998,108.224976,20226600
06/02/2023,112.360001,113.089996,110.32,111.730003,108.041245,13855200
07/02/2023,112.389999,115.309998,112.019997,114.919998,111.125931,16013300
08/02/2023,115.050003,115.830002,113.849998,113.919998,110.158936,18459700
09/02/2023,114.620003,116.239998,114.18,114.349998,110.574745,17439300
10/02/2023,116.510002,119.629997,116.160004,119.169998,115.235611,24918600
13/02/2023,117.720001,118.18,115.900002,117.800003,114.787376,14536200
14/02/2023,117.010002,117.809998,116.019997,116.419998,113.442673,12079000
15/02/2023,115.720001,116.089996,114.139999,116.07,113.101616,13663400
16/02/2023,115.309998,116.779999,114.800003,115.730003,112.770317,11360600
17/02/2023,114.190002,114.190002,110.980003,111.279999,108.43412,20758300
21/02/2023,110.809998,112.379997,110.809998,111.169998,108.326927,14469400
22/02/2023,110.480003,110.970001,108.639999,109.730003,106.923767,13973800
23/02/2023,110.730003,111.830002,109.900002,110.739998,107.907921,11289400
24/02/2023,109.330002,110.959999,109.019997,110.75,107.917679,14351000
27/02/2023,110.800003,111.260002,109.959999,110.550003,107.722794,11710500
28/02/2023,111.239998,111.360001,109.220001,109.910004,107.099167,18107000
01/03/2023,109.309998,111.860001,109.239998,110.889999,108.054092,13200000
02/03/2023,110.620003,111.699997,110.169998,111.400002,108.551056,10339900
03/03/2023,110.050003,113.370003,109.949997,112.809998,109.924988,13006700
06/03/2023,111.989998,113.839996,111.870003,113.809998,110.899422,14347400
07/03/2023,112.809998,113.169998,111.169998,111.610001,108.755676,11525300
08/03/2023,111.230003,112.419998,109.07,109.980003,107.167366,13509800
09/03/2023,110.870003,112.230003,109.029999,109.129997,106.339104,12961200
10/03/2023,109.559998,111.040001,107.150002,107.779999,105.023628,15795700
13/03/2023,105.339996,107.860001,103.720001,106.540001,103.815346,20745600
14/03/2023,106.349998,109.010002,104.959999,106.940002,104.205116,18263500
15/03/2023,102.82,104.199997,100.220001,101.620003,99.021172,25733800
16/03/2023,99.110001,101.68,98.019997,101.029999,98.446251,27465200
17/03/2023,100.599998,101.610001,99.139999,99.839996,97.28669,43199500
20/03/2023,99.629997,102.480003,99.5,102.449997,99.829933,32042100
21/03/2023,104.169998,107.279999,104.129997,107.040001,104.302551,31592300
22/03/2023,106.800003,107.18,104.559998,104.589996,101.915207,14952700
