Date,Last Price,Volume,SMAVG (15)
2023-11-08 19:00:00,103.23,573547,893686

2023-11-08 18:30:00,103.35,513644,917764

2023-11-08 18:00:00,103.19,703663,935250

2023-11-08 17:30:00,103.13,777233,937153

2023-11-08 17:00:00,103.35,503993,932561

2023-11-08 16:30:00,103.59,964205,959414

2023-11-08 16:00:00,103.85,670220,975315

2023-11-08 15:30:00,103.52,979188,1015690

2023-11-08 15:00:00,103.85,1045173,1109879

2023-11-08 14:30:00,104.105,1571798,1191656

2023-11-07 20:30:00,104.22,2068085,1147477

2023-11-07 20:00:00,104.22,775811,1063168

2023-11-07 19:30:00,104.19,743859,1072666

2023-11-07 19:00:00,104.73,711390,1071184

2023-11-07 18:30:00,104.635,803488,1070115

2023-11-07 18:00:00,104.48,934716,1051624

2023-11-07 17:30:00,103.95,775928,1025620

2023-11-07 17:00:00,103.8499,732215,1007459

2023-11-07 16:30:00,103.62,708348,1001716

2023-11-07 16:00:00,103.61,906785,1008428

2023-11-07 15:30:00,103.75,1202718,1003966

2023-11-07 15:00:00,103.67,1275846,1045695

2023-11-07 14:30:00,103.46,2392021,1138519

2023-11-06 20:30:00,105.90,2271835,1045548

2023-11-06 20:00:00,106.07,909106,943608

2023-11-06 19:30:00,106.00,803460,928555

2023-11-06 19:00:00,105.975,918270,917151

2023-11-06 18:30:00,106.14,721631,932532

2023-11-06 18:00:00,106.29,695361,930774

2023-11-06 17:30:00,106.61,526125,927642

2023-11-06 17:00:00,106.76,544656,948483

2023-11-06 16:30:00,107.00,503508,993920

2023-11-06 16:00:00,107.0601,646068,1040390

2023-11-06 15:30:00,106.91,809036,1103039

2023-11-06 15:00:00,107.485,839855,1177742

2023-11-06 14:30:00,107.465,1828651,1340392

2023-11-03 19:30:00,107.78,2668204,1288981

2023-11-03 19:00:00,107.7263,997459,1164117

2023-11-03 18:30:00,107.50,742735,1141171

2023-11-03 18:00:00,107.33,683300,1137758

2023-11-03 17:30:00,107.405,632400,1139168

2023-11-03 17:00:00,107.35,1148989,1147158

2023-11-03 16:30:00,107.52,695267,1151463

2023-11-03 16:00:00,107.37,648374,1158941

2023-11-03 15:30:00,107.415,838739,1188457

2023-11-03 15:00:00,107.08,1226221,1211449

2023-11-03 14:30:00,106.83,1200546,1214414

2023-11-03 14:00:00,107.505,1585813,1267451

2023-11-03 13:30:00,108.60,1929577,1457441

